ful_000003|Feccere go’o so sowaama laabi teemedere, hawra e capanɗe joyi.
ful_001511|Ñande go’o lewru siilo, jamma oo fof ko ko jaangata haa tolnoo e degereeji sappo e tati e nder leydi ndii fof.
ful_001515|nan
ful_001519|nan
ful_001524|nan
ful_001526|nan
ful_001528|nan
ful_001531|nan
ful_001538|nan
ful_001540|Poŋ gooto mahaaɗo no laañal e dow maayo. Potooji lampa ooli ina cawndinaa e banngeeji makko ɗiɗi ɗii.
ful_001541|Ko miin fawi e dow taabal hee pom, mo goobu haako, gonɗo caggal feccere pom, mo goobu haako.
ful_001543|nan
ful_001546|nan
ful_001549|nan
ful_001551|Ko neene am fawi dow taabal ñaamirgal, ngal kaasuuji nayi, o reggondiri ɗi, etee eɗi njogii goobuuji ceertuɗi.
ful_001552|nan
ful_001559|nan
ful_001563|Hannde ko ko jogori wulde. Naange ngee maa feeñ no feewi, etee maa nguleeki kii tolno e degereeji capanɗe nayi e jeetati.
ful_001565|nan
ful_001568|nan
ful_001572|nan
ful_001575|"Ladde sukkunde yahdunde e asamaan laaɓɗo baɗɗo duule seeɗa. Eɗen cooynoo kadi ""volcan"" mo yaltinaani hay dara."
ful_001578|To Kawlak toya, caggal ñalawma gulɗo haa tolnii e degereeji capanɗe tati e jeenayi, e kikiiɗe hee, nguleeki kii ustiima haa tolnii e degereeji sappo e ɗiɗi.
ful_001581|Neene am soodii tamaate ɗiɗi boɗeeje, kese, pettaaɗe jooni, eɗi ngoni caggal karot gooto boɗeejo keso pul.
ful_001584|nan
ful_001592|So a ƴettii jeetati, a sowii ɗum laabi jeenayi, tottu maa capanɗe jeeɗiɗi e ɗiɗi.
ful_001595|nan
ful_001597|Poŋ gooto mahaaɗo no laañal e dow maayo. Potooji lampa ooli ina cawndinaa e banngeeji makko ɗiɗi ɗii.
ful_001598|So a ɓeydii jeeɗiɗi e jeegom tottu maa sappo e tati.
ful_001600|nan
ful_001601|Korwal ngal goobu cooyo ; ɓernde, nde goobu haako ina nataa e dow korwal ngal.
ful_001607|Ko neene am fawi dow taabal ñaamirgal, ngal kaasuuji nayi, o reggondiri ɗi, etee eɗi njogii goobuuji ceertuɗi.
ful_001608|nan
ful_001609|nan
ful_001613|nan
ful_001619|nan
ful_001620|nan
ful_001627|nan
ful_001630|nan
ful_001638|Ñaaki tati diwooji, ngootu nguu ardii, ɗiɗi ɗii ngoni caggal, eɗi ndiwa dow piindi, etee eɗi ƴeewra bannge gooto.
ful_001644|Yeru, e rogere capanɗe tati: sagata gorko mawninoowo maanditaare jibinegol mum (aniwerseer), soodii gato, fecci ɗum e galleeji capanɗe tati, ngam mawninde duuɓi mum capanɗe tati.
ful_001646|E ngal natal, eɗen nji’a ɓiɗɗo gonɗo hakkunde baaba mum e neene mum, yummiraaɗo oo heedi mbo nano, baabiraaɗo heedi mbo ñaamo.
ful_001656|Nji’at-mi e natal ngal ko janngoowo gooto natɗo mbege mo goobu baka e hoodere raneere, ina waɗi cate jeegom, ina woni kadi e nder mbege oo, e hakkunde mum teru.
ful_001657|nan
ful_001659|Nayaɓal teemedere fota e noogaas e joyi
ful_001662|nan
ful_001663|Caggal nde cood-mi oo pom boɗeejo oo ko ɓooyi, etee mi ñaamaani ɗum, ko ndeen nji’-mi heen ngilngu mawngu, ina yalti heen.
ful_001668|nan
ful_001671|Sagata gorko oo nehat rawaandu, ndu nji’-ɗen e natal ngal, endu fijira bal oo, etee ombo haɓɓani ndu ɓoggol e daande ndee.
ful_001672|nan
ful_001673|nan
ful_001676|nan
ful_001679|nan
ful_001680|nan
ful_001681|nan
ful_001682|nan
ful_001683|nan
ful_001684|Ko nji’ataa e natal ngal koo, ko mbegeyel danewel, engel woni e nder mbegeyal goɗngal, ngal goobu roos, kural oolal kuccitngal bannge nano ngal, ina rewi e hakkunde mbegeeji ɗiɗi ɗii.
ful_001686|Nayaɓal tati so sowaama e teemedere e noogaas, wona capanɗe nayi
ful_001693|nan
ful_001695|nan
ful_001700|nan
ful_001703|Jeetaɓal tati, so a sowii ɗum laabi jeetati fota e tati.
ful_001707|Baaba am, caggal nde heɗii kabaruuji metewoo, yaltinii parayseewal mum baɗngal goobuuji keewɗi, ceertuɗi, o udditi ngal.
ful_001709|nan
ful_001714|Gaynaako oo ina jogii ngaari mawndi, ndi nguru mum waɗi ko ranwni e ko ɓawli, endi darii, endi yeeɓa yeeso makko.
ful_001715|nan
ful_001723|nan
ful_001729|So a sowii nayi laabi joyi tottu maa noogaas.
ful_001730|E ngal natal, eɗen nji’a heen ladde sukkunde, naange e dow asamaan laaɓɗo. Ina waɗi nagge wonnge hedde lekki, enge dura.
ful_001731|nan
ful_001734|Caggal nde Abdu Jallo paasi mbo bal oo, kaŋko Saajo Maane, ko o pettuɗo bal oo, naati e nder caakuuji ɗii.
ful_001736|nan
ful_001738|nan
ful_001744|Nayaɓal tati so sowaama e teemedere e noogaas, wona capanɗe nayi
ful_001750|Sappo e go’o so a ɓeydii heen tati, tottu maa sappo e nayi.
ful_001753|nan
ful_001759|nan
ful_001769|Feccere go’o so sowaama laabi teemedere, hawra e capanɗe joyi.
ful_001770|To Kawlak toya, caggal ñalawma gulɗo haa tolnii e degereeji capanɗe tati e jeenayi, e kikiiɗe hee, nguleeki kii ustiima haa tolnii e degereeji sappo e ɗiɗi.
ful_001772|nan
ful_001776|Caggal nde cood-mi oo pom boɗeejo oo ko ɓooyi, etee mi ñaamaani ɗum, ko ndeen nji’-mi heen ngilngu mawngu, ina yalti heen.
ful_001778|nan
ful_001779|Eɗen mbaawi wi’de ko nji’aten koo, ko fallanteere, pot piindi baɗɗo piindol cowtingol ina fawaa heen, ridooji ɗii ina ngudditaa.
ful_001782|Nayaɓal tati so sowaama e teemedere e noogaas, wona capanɗe nayi
ful_001783|Miɗo yi’a galle sukaaɓe njoyo: gadano oo ko suka debbo, ɗiɗaɓo oo ko suka gorko, tataɓo oo ko suka debbo, tataɓo oo e joyaɓo oo ko sukaaɓe worɓe.
ful_001789|Leggal, ngal goobu haako gittangal e lekki banana, etee engal wondi e koɓi mum ɗi goobu haako, bananuuji oolɗi ina pawaa kadi yeeso leggal ngal.
ful_001798|nan
ful_001804|nan
ful_001806|So a sowii nayi laabi joyi tottu maa noogaas.
ful_001818|Caggal nde cood-mi oo pom boɗeejo oo ko ɓooyi, etee mi ñaamaani ɗum, ko ndeen nji’-mi heen ngilngu mawngu, ina yalti heen.
ful_001822|Hikka, leydi Kanadaa ina jaangi haa ɓurti. Alet gooto, to wuro Yukon, weeyo ngoo ko ko jippii tan haa lesɗi degereeji sappo e tati caggal mere.
ful_001825|nan
ful_001826|nan
ful_001829|nan
ful_001832|Caggal nde cood-mi oo pom boɗeejo oo ko ɓooyi, etee mi ñaamaani ɗum, ko ndeen nji’-mi heen ngilngu mawngu, ina yalti heen.
ful_001834|Ndee yontere maa nguleeki kii tolno e degereeji noogaas e jeegom. So ki lesɗii, maa ki tolno e degereeji sappo e joyi. E ciimtol weeyo, ina jogori toɓde e ɗeen balɗe ɗiɗi.
ful_001837|E ngal natal, eɗen nji’a heen ladde sukkunde, naange e dow asamaan laaɓɗo. Ina waɗi nagge wonnge hedde lekki, enge dura.
ful_001850|Sappoɓal miliyoŋ geɗe woni ujunnaaje teemedere
ful_001851|Sappo e go’o so a ɓeydii heen tati, tottu maa sappo e nayi.
ful_001852|nan
ful_001853|nan
ful_001854|So a sowii nayi laabi joyi tottu maa noogaas.
ful_001856|Barraade ɓaleere, waɗnde ko ranwi, ina uddaa haa tiiɗi, fawaa e dow jayngol boɗewol coy.
ful_001857|nan
ful_001859|nan
ful_001863|nan
ful_001866|Ko miin fawi e dow taabal hee pom, mo goobu haako, gonɗo caggal feccere pom, mo goobu haako.
ful_001867|Natal lewru ji’otoondu dow asamaan e nder feccere jamma, ina tiimi maayo deeƴngo.
ful_001869|So a ɓeydii jeeɗiɗi e jeegom tottu maa sappo e tati.
ful_001876|nan
ful_001882|Joyaɓal cowangal laabi noogaas, ɓeydee heen capanɗe tati, ɓeydee kadi capanɗe nayi hawra sappo e jeetati.
ful_001894|nan
ful_001904|Sappo e go’o, so a sowii ɗum laabi teemedere e sappo, tottat maa ujunere e teemedde ɗiɗi e sappo
ful_001915|nan
ful_001918|"Ladde sukkunde yahdunde e asamaan laaɓɗo baɗɗo duule seeɗa. Eɗen cooynoo kadi ""volcan"" mo yaltinaani hay dara."
ful_001921|nan
ful_001923|nan
ful_001927|Natal lewru ji’otoondu dow asamaan e nder feccere jamma, ina tiimi maayo deeƴngo.
ful_001929|nan
ful_001930|Cukalel gorel dogowel caggal fuku-bal ngam fettude ɗum.
ful_001932|Natal lewru ji’otoondu dow asamaan e nder feccere jamma, ina tiimi maayo deeƴngo.
ful_001936|Mboɗdi ndii nani taarii catal lekki, ina yaltini ɗemngal mum.
ful_001939|Joyaɓal cowangal laabi noogaas, ɓeydee heen capanɗe tati, ɓeydee kadi capanɗe nayi hawra sappo e jeetati.
ful_001940|nan
ful_001950|nan
ful_001957|Capanɗe jeegom feccee e hakkunde wonata ko capanɗe tati
ful_001961|nan
ful_001962|nan
ful_001965|nan
ful_001978|Miɗo yi’a galle sukaaɓe njoyo: gadano oo ko suka debbo, ɗiɗaɓo oo ko suka gorko, tataɓo oo ko suka debbo, tataɓo oo e joyaɓo oo ko sukaaɓe worɓe.
ful_001981|nan
ful_001988|nan
ful_001994|nan
ful_001996|E ngal natal, eɗen nji’a ɓiɗɗo gonɗo hakkunde baaba mum e neene mum, yummiraaɗo oo heedi mbo nano, baabiraaɗo heedi mbo ñaamo.
ful_002001|nan
ful_002003|nan
ful_002005|Kareeji tati ɗi goomu cooyum deggondirɗi, ina keedi bannge ñaamo, e mbegeeji ɗiɗi, ɗi goobu baka pawndirɗi, ina keedi bannge ñaamo. Ko ɗuum feeñi e ngal natal.
ful_002011|Joyaɓal cowangal laabi noogaas, ɓeydee heen capanɗe tati, ɓeydee kadi capanɗe nayi hawra sappo e jeetati.
ful_002012|Miɗo yi’a galle sukaaɓe njoyo: gadano oo ko suka debbo, ɗiɗaɓo oo ko suka gorko, tataɓo oo ko suka debbo, tataɓo oo e joyaɓo oo ko sukaaɓe worɓe.
ful_002013|nan
ful_002014|Joyaɓe ɗiɗi so sowaama e capanɗe jeetati, wona capanɗe jeetati e ɗiɗi.
ful_002017|nan
ful_002022|nan
ful_002025|Joyaɓal cowangal laabi noogaas, ɓeydee heen capanɗe tati, ɓeydee kadi capanɗe nayi hawra sappo e jeetati.
ful_002033|nan
ful_002034|Natal lewru ji’otoondu dow asamaan e nder feccere jamma, ina tiimi maayo deeƴngo.
ful_002044|nan
ful_002048|nan
ful_002051|Sappo e go’o, so a sowii ɗum laabi teemedere e sappo, tottat maa ujunere e teemedde ɗiɗi e sappo
ful_002053|nan
ful_002060|Tatiwal ngal goobu haako, engal woni dow mbege mo goobu baka, ina takkondiri e maggal. Mbege mo haako gonɗo les tatiwal, ngal goobu haako takkondirngal e mbege oo.
ful_002062|nan
ful_002066|nan
ful_002067|Jeeɗiɗi laabi jeetati, tottat maa ko capanɗe joyi e jeegom.
ful_002074|nan
ful_002077|nan
ful_002078|nan
ful_002084|nan
ful_002087|So nayaɓal go’oo sowaama laabi nayi wona joyi.
ful_002090|Yeru, e rogere nayaɓere: ɓiy taanam nayaɓo oo resii rewɓe nayo, ɓe nganndu-ɗaa, gooto heen fof jibinii sukaaɓe nayo.
ful_002093|nan
ful_002095|Gaynaako oo ina jogii ngaari mawndi, ndi nguru mum waɗi ko ranwni e ko ɓawli, endi darii, endi yeeɓa yeeso makko.
ful_002099|Korwal ngal goobu cooyo ; ɓernde, nde goobu haako ina nataa e dow korwal ngal.
ful_002100|So a ɓeydii jeeɗiɗi e jeegom tottu maa sappo e tati.
ful_002101|nan
ful_002104|nan
ful_002108|So a sowii nayi laabi joyi tottu maa noogaas.
ful_002112|nan
ful_002114|nan
ful_002115|Joyaɓe ɗiɗi so sowaama e capanɗe jeetati, wona capanɗe jeetati e ɗiɗi.
ful_002116|To Kawlak toya, caggal ñalawma gulɗo haa tolnii e degereeji capanɗe tati e jeenayi, e kikiiɗe hee, nguleeki kii ustiima haa tolnii e degereeji sappo e ɗiɗi.
ful_002119|So capanɗe jeegom feccaama laabi tati wona noogaas.
ful_002123|nan
ful_002124|E ngal natal, eɗen nji’a ɓiɗɗo gonɗo hakkunde baaba mum e neene mum, yummiraaɗo oo heedi mbo nano, baabiraaɗo heedi mbo ñaamo.
ful_002125|nan
ful_002127|nan
ful_002128|nan
ful_002134|nan
ful_002138|nan
ful_002139|nan
ful_002140|nan
ful_002142|Barraade ɓaleere, waɗnde ko ranwi, ina uddaa haa tiiɗi, fawaa e dow jayngol boɗewol coy.
ful_002144|nan
ful_002147|nan
ful_002151|Korwal ngal goobu cooyo ; ɓernde, nde goobu haako ina nataa e dow korwal ngal.
ful_002153|Nji’at-mi e natal ngal ko janngoowo gooto natɗo mbege mo goobu baka e hoodere raneere, ina waɗi cate jeegom, ina woni kadi e nder mbege oo, e hakkunde mum teru.
ful_002154|nan
ful_002155|nan
ful_002156|Capanɗe jeegom feccee e hakkunde wonata ko capanɗe tati
ful_002157|Jeetaɓal tati, so a sowii ɗum laabi jeetati fota e tati.
ful_002161|Jeeɗiɗi laabi jeetati, tottat maa ko capanɗe joyi e jeegom.
ful_002165|Ñande go’o lewru siilo, jamma oo fof ko ko jaangata haa tolnoo e degereeji sappo e tati e nder leydi ndii fof.
ful_002178|nan
ful_002182|nan
ful_002195|Barraade ɓaleere, waɗnde ko ranwi, ina uddaa haa tiiɗi, fawaa e dow jayngol boɗewol coy.
ful_002196|nan
ful_002198|Ko neene am fawi dow taabal ñaamirgal, ngal kaasuuji nayi, o reggondiri ɗi, etee eɗi njogii goobuuji ceertuɗi.
ful_002207|nan
ful_002208|Hikka, leydi Kanadaa ina jaangi haa ɓurti. Alet gooto, to wuro Yukon, weeyo ngoo ko ko jippii tan haa lesɗi degereeji sappo e tati caggal mere.
ful_002210|nan
ful_002211|nan
ful_002213|nan
ful_002214|Baaba am, caggal nde heɗii kabaruuji metewoo, yaltinii parayseewal mum baɗngal goobuuji keewɗi, ceertuɗi, o udditi ngal.
ful_002218|So a ƴettii sappo, a sowii ɗum laabi sappo, tottat maa ko teemedere.
ful_002220|nan
ful_002221|Ñaaki tati diwooji, ngootu nguu ardii, ɗiɗi ɗii ngoni caggal, eɗi ndiwa dow piindi, etee eɗi ƴeewra bannge gooto.
ful_002223|nan
ful_002226|Mboɗdi ndii nani taarii catal lekki, ina yaltini ɗemngal mum.
ful_002229|nan
ful_002230|nan
ful_002234|Sagata gorko oo nehat rawaandu, ndu nji’-ɗen e natal ngal, endu fijira bal oo, etee ombo haɓɓani ndu ɓoggol e daande ndee.
ful_002235|nan
ful_002237|Neene am soodii tamaate ɗiɗi boɗeeje, kese, pettaaɗe jooni, eɗi ngoni caggal karot gooto boɗeejo keso pul.
ful_002245|nan
ful_002247|nan
ful_002248|So a ƴettii jeetati, a sowii ɗum laabi jeenayi, tottu maa capanɗe jeeɗiɗi e ɗiɗi.
ful_002253|Jeeɗiɗi laabi jeetati, tottat maa ko capanɗe joyi e jeegom.
ful_002259|nan
ful_002260|So a ɓeydii jeeɗiɗi e jeegom tottu maa sappo e tati.
ful_002263|nan
ful_002264|nan
ful_002267|Suka gorko oo ko ko nati e kayee mum welo baɗɗo ponooje ɗiɗi.
ful_002271|nan
ful_002277|Cowpotal ngal goobu wiyolee nji’aten, tati pentagon ɗi goobu giri, ɗiɗi ɗii ina keedi dow, gooto oo ina heedi les e hakkunde ɗiɗi ɗii.
ful_002278|So a ƴettii sappo e ɗiɗi, a sowii ɗum laabi nayi, ndañaa capanɗe nayi e nayi.
ful_002284|nan
ful_002286|Yeru, e rogere nayaɓere: ɓiy taanam nayaɓo oo resii rewɓe nayo, ɓe nganndu-ɗaa, gooto heen fof jibinii sukaaɓe nayo.
ful_002296|Capanɗe jeegom feccee e hakkunde wonata ko capanɗe tati
ful_002298|nan
ful_002300|nan
ful_002301|nan
ful_002309|nan
ful_002310|nan
ful_002311|So a ƴettii sappo e ɗiɗi, a sowii ɗum laabi nayi, ndañaa capanɗe nayi e nayi.
ful_002313|nan
ful_002320|nan
ful_002327|E ngal natal, cukalel ngel ko ko yiɗi hollitde puɗal naange yaltoowe e duule ɗee.
ful_002339|nan
ful_002344|nan
ful_002357|nan
ful_002363|So a ɓeydii jeeɗiɗi e jeegom tottu maa sappo e tati.
ful_002370|nan
ful_002372|Korwal ngal goobu cooyo ; ɓernde, nde goobu haako ina nataa e dow korwal ngal.
ful_002375|nan
ful_002378|Yeru, e rogere joyaɓere:  e ñalnde jeeɗaɓere e pottital ngal, Erling Haland naatnii bii mum jeeɗaɓiijo e nder pottitte jeeɗiɗi, ɗe waɗi e Manchester City.
ful_002379|Poŋ gooto mahaaɗo no laañal e dow maayo. Potooji lampa ooli ina cawndinaa e banngeeji makko ɗiɗi ɗii.
ful_002392|Neene am soodii tamaate ɗiɗi boɗeeje, kese, pettaaɗe jooni, eɗi ngoni caggal karot gooto boɗeejo keso pul.
ful_002408|nan
ful_002412|Natal jooɗngal nji’aten ɗoo. Haayre waɗnde kuɗooli, ɗi goobu haako ina kurli maayo wooto, e les asamaan ƴiiwnuɗo.
ful_002413|Neene am soodii tamaate ɗiɗi boɗeeje, kese, pettaaɗe jooni, eɗi ngoni caggal karot gooto boɗeejo keso pul.
ful_002415|nan
ful_002424|"Ladde sukkunde yahdunde e asamaan laaɓɗo baɗɗo duule seeɗa. Eɗen cooynoo kadi ""volcan"" mo yaltinaani hay dara."
ful_002430|Jeeɗiɗi laabi jeetati, tottat maa ko capanɗe joyi e jeegom.
ful_002433|nan
ful_002439|nan
ful_002445|Miliyoŋ peccaaɗo pecce joyi fota e ujunnaaje teemedde ɗiɗi
ful_002452|Janngoowo oo soodii defte jeegom, ɗe fawondiri ngam tarde, ngam heblude memuwaar, mo o winndata oo.
ful_002456|Baaba am, caggal nde heɗii kabaruuji metewoo, yaltinii parayseewal mum baɗngal goobuuji keewɗi, ceertuɗi, o udditi ngal.
ful_002458|Nayaɓal tati so sowaama e teemedere e noogaas, wona capanɗe nayi
ful_002460|nan
ful_002463|nan
ful_002471|nan
ful_002474|Ko nji’aten ɗoo koo, ina waawi jaggireede pijirlooji cukalel tokosel, cowpotalji, kaareeji e tatiwalji baɗɗi goobuuji ceertuɗi, etee eɗi naatnaattondiree ngam feewnude huunde.
ful_002475|nan
ful_002481|nan
ful_002483|Nayaɓal tati so sowaama e teemedere e noogaas, wona capanɗe nayi
ful_002484|E yontere ñalawma sappo e jeenayaɓo haa ñalawma sappo e tataɓo e lewru colte hikka, ko sahaa mo yejjittaake sabu punndi keewndi, cuuɗnoondi asamaan oo e gure keewɗe e nder Senegaal.
ful_002491|Sagata gorko oo nehat rawaandu, ndu nji’-ɗen e natal ngal, endu fijira bal oo, etee ombo haɓɓani ndu ɓoggol e daande ndee.
ful_002504|Sappo e go’o so a ɓeydii heen tati, tottu maa sappo e nayi.
ful_002509|nan
ful_002511|Capanɗe jeegom feccee e hakkunde wonata ko capanɗe tati
ful_002515|Sappo e go’o so a ɓeydii heen tati, tottu maa sappo e nayi.
ful_002518|Go’o ɓeydaa heen ɗiɗi, tottu maa tati.
ful_002531|nan
ful_002535|nan
ful_002536|"Ladde sukkunde yahdunde e asamaan laaɓɗo baɗɗo duule seeɗa. Eɗen cooynoo kadi ""volcan"" mo yaltinaani hay dara."
ful_002538|nan
ful_002550|Leggal, ngal goobu haako gittangal e lekki banana, etee engal wondi e koɓi mum ɗi goobu haako, bananuuji oolɗi ina pawaa kadi yeeso leggal ngal.
ful_002559|nan
ful_002560|nan
ful_002564|nan
ful_002566|Sappo e go’o so a ɓeydii heen tati, tottu maa sappo e nayi.
ful_002581|nan
ful_002591|Natal lewru ji’otoondu dow asamaan e nder feccere jamma, ina tiimi maayo deeƴngo.
ful_002596|nan
ful_002608|nan
ful_002613|Hannde ko ko jogori wulde. Naange ngee maa feeñ no feewi, etee maa nguleeki kii tolno e degereeji capanɗe nayi e jeetati.
ful_002621|Miliyoŋ peccaaɗo pecce joyi fota e ujunnaaje teemedde ɗiɗi
ful_002623|nan
ful_002627|nan
ful_002637|nan
ful_002639|Leggal, ngal goobu haako gittangal e lekki banana, etee engal wondi e koɓi mum ɗi goobu haako, bananuuji oolɗi ina pawaa kadi yeeso leggal ngal.
ful_002642|So a ƴettii jeetati, a sowii ɗum laabi jeenayi, tottu maa capanɗe jeeɗiɗi e ɗiɗi.
ful_002643|nan
ful_002644|Jeeɗiɗi laabi jeetati, tottat maa ko capanɗe joyi e jeegom.
ful_002648|nan
ful_002650|nan
ful_002660|nan
ful_002661|Gaynaako oo ina jogii ngaari mawndi, ndi nguru mum waɗi ko ranwni e ko ɓawli, endi darii, endi yeeɓa yeeso makko.
ful_002664|Cowpotal ngal goobu wiyolee nji’aten, tati pentagon ɗi goobu giri, ɗiɗi ɗii ina keedi dow, gooto oo ina heedi les e hakkunde ɗiɗi ɗii.
ful_002665|Feccere go’o so sowaama laabi teemedere, hawra e capanɗe joyi.
ful_002666|nan
ful_002667|Go’o ɓeydaa heen ɗiɗi, tottu maa tati.
ful_002679|nan
ful_002690|Suka gorko oo ko ko nati e kayee mum welo baɗɗo ponooje ɗiɗi.
ful_002693|Go’o ɓeydaa heen ɗiɗi, tottu maa tati.
ful_002694|Gaynaako oo ina jogii ngaari mawndi, ndi nguru mum waɗi ko ranwni e ko ɓawli, endi darii, endi yeeɓa yeeso makko.
ful_002698|E ngal natal, cukalel ngel ko ko yiɗi hollitde puɗal naange yaltoowe e duule ɗee.
ful_002703|Tatiwal ngal goobu haako, engal woni dow mbege mo goobu baka, ina takkondiri e maggal. Mbege mo haako gonɗo les tatiwal, ngal goobu haako takkondirngal e mbege oo.
ful_002711|Jeetaɓal tati, so a sowii ɗum laabi jeetati fota e tati.
ful_002714|Ñalawma hannde oo, asamaan oo ina waɗi duule, henndu nduu ina wifa doole haa tolnii e capanɗe jeetati e nder teemedere e waktu fof.
ful_002716|So a ƴettii sappo, a sowii ɗum laabi sappo, tottat maa ko teemedere.
ful_002729|Gaynaako oo ina jogii ngaari mawndi, ndi nguru mum waɗi ko ranwni e ko ɓawli, endi darii, endi yeeɓa yeeso makko.
ful_002731|nan
ful_002735|nan
ful_002738|nan
ful_002739|Joyaɓe ɗiɗi so sowaama e capanɗe jeetati, wona capanɗe jeetati e ɗiɗi.
ful_002743|nan
ful_002747|nan
ful_002756|So a ƴettii sappo e ɗiɗi, a sowii ɗum laabi nayi, ndañaa capanɗe nayi e nayi.
ful_002757|nan
ful_002762|nan
ful_002767|nan
ful_002768|Feccere go’o so sowaama laabi teemedere, hawra e capanɗe joyi.
ful_002771|nan
ful_002782|So nayaɓal go’oo sowaama laabi nayi wona joyi.
ful_002786|nan
ful_002788|nan
ful_002795|Cukalel gorel dogowel caggal fuku-bal ngam fettude ɗum.
ful_002796|nan
ful_002797|nan
ful_002802|nan
ful_002803|nan
ful_002812|nan
ful_002824|nan
ful_002828|nan
ful_002830|nan
ful_002832|Go’o ɓeydaa heen ɗiɗi, tottu maa tati.
ful_002835|nan
ful_002840|Janngoowo oo soodii defte jeegom, ɗe fawondiri ngam tarde, ngam heblude memuwaar, mo o winndata oo.
ful_002846|Ko nji’ataa e natal ngal koo, ko mbegeyel danewel, engel woni e nder mbegeyal goɗngal, ngal goobu roos, kural oolal kuccitngal bannge nano ngal, ina rewi e hakkunde mbegeeji ɗiɗi ɗii.
ful_002847|Gorko dañɗo duuɓi capanɗe tati, ombo ñaantii ha o yooɗi, ombo jooɗii e jooɗorgal, ombo fawondiri koyɗe, omo jogii kayitol surnaal, ombo tara ngam humpitaade kabaruuji jolɗi…
ful_002849|Ñaaki tati diwooji, ngootu nguu ardii, ɗiɗi ɗii ngoni caggal, eɗi ndiwa dow piindi, etee eɗi ƴeewra bannge gooto.
ful_002852|Yeru, e rogere nayaɓere: ɓiy taanam nayaɓo oo resii rewɓe nayo, ɓe nganndu-ɗaa, gooto heen fof jibinii sukaaɓe nayo.
ful_002854|nan
ful_002855|Hannde, to Tammbaakundaa, diiwaan keedɗo fuɗnaange leydi Senegaal, maa ñalawma oo wul no feewi sabu nguleeki kii maa toow haa tolnoo e degereeji capanɗe nayi e joyi.
ful_002863|nan
ful_002868|nan
ful_002875|Mboɗdi ndii nani taarii catal lekki, ina yaltini ɗemngal mum.
ful_002880|nan
ful_002883|Suka gorko oo ko ko nati e kayee mum welo baɗɗo ponooje ɗiɗi.
ful_002890|nan
ful_002891|Leggal, ngal goobu haako gittangal e lekki banana, etee engal wondi e koɓi mum ɗi goobu haako, bananuuji oolɗi ina pawaa kadi yeeso leggal ngal.
ful_002902|Go’o ɓeydaa heen ɗiɗi, tottu maa tati.
ful_002910|nan
ful_002912|Sagata gorko oo nehat rawaandu, ndu nji’-ɗen e natal ngal, endu fijira bal oo, etee ombo haɓɓani ndu ɓoggol e daande ndee.
ful_002915|E ngal natal, eɗen nji’a ɓiɗɗo gonɗo hakkunde baaba mum e neene mum, yummiraaɗo oo heedi mbo nano, baabiraaɗo heedi mbo ñaamo.
ful_002921|nan
ful_002923|nan
ful_002934|Kace der ladde.
ful_002937|Diwal Lagos woni ko ɓuri ko toye takki wurngo e nattinki Leydi Ibadan woni inare ko un fuɗɗi Talabiji nder Afrik, jaami'aare arandeere Najeriya, e suudu nyawndiigu janngirde arandeere nder Najeriya.
ful_002938|Benee ɓo mari mardaaje manga ha galluure Cotonou.
ful_002939|Nange e fuɗoya ta nder doulo.
ful_002943|Taamnde jaɓɓama ha yeeso tatiwal bana duule.
ful_002944|Taskaama ñalawma gulɗum seɗɗa.
ful_002947|Mi dantake yande altine.
ful_002948|Lewru Juldaadu: ɗo nder lewru mawdu haa duniyaaru fu.
ful_002949|3 sisters Rock ɗo ha Song Dimoore Adamawa.
ful_002950|Mi ɓorni toggoore ɓaleejum.
ful_002951|Juwi e ɗiɗi nde juwi e tati foti chappan e juwi e juwi e go`o.
ful_002952|Kungiyaru jangowobe julowobe MSS.
ful_002953|Pentagon tati e njeri.
ful_002954|Togo ɗo wadda mootaaji masin.
ful_002956|A waran nyalaade Alamiisa na?
ful_002957|Yaaɓande den mawnde.
ful_002959|Feccere gootel nder jowi je miliyo fotan bee ujineeje temerre ɗiɗi.
ful_002960|Nijer, Kamaru, Libya, Mali, Togo, Ghana, Ivory coast e Benin.
ful_002962|Koode daneejum ha dow tardi bana duule.
ful_002964|Mboodi taari lekki kin.
ful_002965|Abuuja-Laamorgo leydi Naajeeriya e tawaa e nde'e galluure.
ful_002966|Lewru Anngusta on nyeede ɓuri toɓugo nder diwal Adamawa.
ful_002967|O resi Karas boɗeejum ɗakki  tumaatir.
ful_002968|Buubi ɗo suula ɓikkon leɗɗe.
ful_002969|Yende Alarba daada am ɗo waɗa sadaka kossam.
ful_002971|Minne maudu wuro amin milahatake mi juhdo.
ful_002972|Sappo rimta bee sappo fotan bee temerre gotel.
ful_002974|Tchaadi on mari pellel ɓuri wulugo ha duuniyaaru sai ni Fombina maari ɗo feewi.
ful_002975|Joweetati sowa nde joweenayi woni cappanɗe joweeɗiɗi e ɗiɗi.
ful_002976|Nnage wurtayeke.
ful_002979|Yimbe e jula yande Eid.
ful_002981|Masihiyinki’en ɗo yaha haykaleeji nyalaande Alat.
ful_002982|Gold Coast on inde Ghaana hidde sannja warta Ghaana.
ful_002986|Nyiiri maaroori ɓuri welugo bee haako follere.
ful_002988|Diidi  ɓernde duule ha dow cilindir boɗeejum.
ful_002989|Atiku Abubakar on balloowo jagorɗo leydi Naajeeriya wakkati laamu Obasanjo.
